[2025-10-24 10:00:00.578] [INFO] [HANDSHAKE] Handshake data retrieved | User: Yokesh, Count: 1
[2025-10-24 10:00:00.612] [INFO] [MESSAGE] Retrieved messages | User: Yokesh, Count: 1
[2025-10-24 10:00:02.620] [INFO] [HANDSHAKE] Handshake data retrieved | User: Yokesh, Count: 1
[2025-10-24 10:00:02.658] [INFO] [MESSAGE] Retrieved messages | User: Yokesh, Count: 1
[2025-10-24 10:00:05.189] [INFO] [HANDSHAKE] Handshake data retrieved | User: Yokesh, Count: 1
[2025-10-24 10:00:05.218] [INFO] [MESSAGE] Retrieved messages | User: Yokesh, Count: 1
[2025-10-24 10:00:08.191] [INFO] [HANDSHAKE] Handshake data retrieved | User: Yokesh, Count: 1
[2025-10-24 10:00:08.218] [INFO] [MESSAGE] Retrieved messages | User: Yokesh, Count: 1
[2025-10-24 10:00:11.188] [INFO] [HANDSHAKE] Handshake data retrieved | User: Yokesh, Count: 1
[2025-10-24 10:00:11.220] [INFO] [MESSAGE] Retrieved messages | User: Yokesh, Count: 1
[2025-10-24 10:00:14.184] [INFO] [HANDSHAKE] Handshake data retrieved | User: Yokesh, Count: 1
[2025-10-24 10:00:14.215] [INFO] [MESSAGE] Retrieved messages | User: Yokesh, Count: 1
[2025-10-24 10:00:17.177] [INFO] [HANDSHAKE] Handshake data retrieved | User: Yokesh, Count: 1
[2025-10-24 10:00:17.211] [INFO] [MESSAGE] Retrieved messages | User: Yokesh, Count: 1
[2025-10-24 10:00:20.185] [INFO] [HANDSHAKE] Handshake data retrieved | User: Yokesh, Count: 1
[2025-10-24 10:00:20.213] [INFO] [MESSAGE] Retrieved messages | User: Yokesh, Count: 1
[2025-10-24 10:00:22.221] [INFO] [HANDSHAKE] Handshake data retrieved | User: Yokesh, Count: 1
[2025-10-24 10:00:22.265] [INFO] [MESSAGE] Retrieved messages | User: Yokesh, Count: 1
[2025-10-24 10:00:24.273] [INFO] [HANDSHAKE] Handshake data retrieved | User: Yokesh, Count: 1
[2025-10-24 10:00:24.297] [INFO] [MESSAGE] Retrieved messages | User: Yokesh, Count: 1
[2025-10-24 10:00:26.303] [INFO] [HANDSHAKE] Handshake data retrieved | User: Yokesh, Count: 1
[2025-10-24 10:00:26.337] [INFO] [MESSAGE] Retrieved messages | User: Yokesh, Count: 1
[2025-10-24 10:00:28.353] [INFO] [HANDSHAKE] Handshake data retrieved | User: Yokesh, Count: 1
[2025-10-24 10:00:28.384] [INFO] [MESSAGE] Retrieved messages | User: Yokesh, Count: 1
[2025-10-24 10:00:31.178] [INFO] [HANDSHAKE] Handshake data retrieved | User: Yokesh, Count: 1
[2025-10-24 10:00:31.206] [INFO] [MESSAGE] Retrieved messages | User: Yokesh, Count: 1
[2025-10-24 10:00:34.192] [INFO] [HANDSHAKE] Handshake data retrieved | User: Yokesh, Count: 1
[2025-10-24 10:00:34.220] [INFO] [MESSAGE] Retrieved messages | User: Yokesh, Count: 1
[2025-10-24 10:00:37.189] [INFO] [HANDSHAKE] Handshake data retrieved | User: Yokesh, Count: 1
[2025-10-24 10:00:37.216] [INFO] [MESSAGE] Retrieved messages | User: Yokesh, Count: 1
[2025-10-24 10:00:40.186] [INFO] [HANDSHAKE] Handshake data retrieved | User: Yokesh, Count: 1
[2025-10-24 10:00:40.212] [INFO] [MESSAGE] Retrieved messages | User: Yokesh, Count: 1
[2025-10-24 10:00:43.181] [INFO] [HANDSHAKE] Handshake data retrieved | User: Yokesh, Count: 1
[2025-10-24 10:00:43.206] [INFO] [MESSAGE] Retrieved messages | User: Yokesh, Count: 1
[2025-10-24 10:00:46.185] [INFO] [HANDSHAKE] Handshake data retrieved | User: Yokesh, Count: 1
[2025-10-24 10:00:46.211] [INFO] [MESSAGE] Retrieved messages | User: Yokesh, Count: 1
[2025-10-24 10:00:49.185] [INFO] [HANDSHAKE] Handshake data retrieved | User: Yokesh, Count: 1
[2025-10-24 10:00:49.210] [INFO] [MESSAGE] Retrieved messages | User: Yokesh, Count: 1
[2025-10-24 10:00:52.190] [INFO] [HANDSHAKE] Handshake data retrieved | User: Yokesh, Count: 1
[2025-10-24 10:00:52.217] [INFO] [MESSAGE] Retrieved messages | User: Yokesh, Count: 1
[2025-10-24 10:00:55.184] [INFO] [HANDSHAKE] Handshake data retrieved | User: Yokesh, Count: 1
[2025-10-24 10:00:55.209] [INFO] [MESSAGE] Retrieved messages | User: Yokesh, Count: 1
[2025-10-24 10:00:58.190] [INFO] [HANDSHAKE] Handshake data retrieved | User: Yokesh, Count: 1
[2025-10-24 10:00:58.212] [INFO] [MESSAGE] Retrieved messages | User: Yokesh, Count: 1
[2025-10-24 10:01:01.182] [INFO] [HANDSHAKE] Handshake data retrieved | User: Yokesh, Count: 1
[2025-10-24 10:01:01.205] [INFO] [MESSAGE] Retrieved messages | User: Yokesh, Count: 1
[2025-10-24 10:01:04.190] [INFO] [HANDSHAKE] Handshake data retrieved | User: Yokesh, Count: 1
[2025-10-24 10:01:04.219] [INFO] [MESSAGE] Retrieved messages | User: Yokesh, Count: 1
[2025-10-24 10:01:07.185] [INFO] [HANDSHAKE] Handshake data retrieved | User: Yokesh, Count: 1
[2025-10-24 10:01:07.207] [INFO] [MESSAGE] Retrieved messages | User: Yokesh, Count: 1
[2025-10-24 10:01:09.508] [INFO] [HANDSHAKE] Handshake data retrieved | User: Yokesh, Count: 1
[2025-10-24 10:01:09.563] [INFO] [MESSAGE] Retrieved messages | User: Yokesh, Count: 1
[2025-10-24 10:01:11.568] [INFO] [HANDSHAKE] Handshake data retrieved | User: Yokesh, Count: 1
[2025-10-24 10:01:11.603] [INFO] [MESSAGE] Retrieved messages | User: Yokesh, Count: 1
[2025-10-24 10:01:13.610] [INFO] [HANDSHAKE] Handshake data retrieved | User: Yokesh, Count: 1
[2025-10-24 10:01:13.636] [INFO] [MESSAGE] Retrieved messages | User: Yokesh, Count: 1
[2025-10-24 10:01:15.651] [INFO] [HANDSHAKE] Handshake data retrieved | User: Yokesh, Count: 1
[2025-10-24 10:01:15.713] [INFO] [MESSAGE] Retrieved messages | User: Yokesh, Count: 1
[2025-10-24 10:01:18.187] [INFO] [HANDSHAKE] Handshake data retrieved | User: Yokesh, Count: 1
[2025-10-24 10:01:18.213] [INFO] [MESSAGE] Retrieved messages | User: Yokesh, Count: 1
[2025-10-24 10:01:21.190] [INFO] [HANDSHAKE] Handshake data retrieved | User: Yokesh, Count: 1
[2025-10-24 10:01:21.216] [INFO] [MESSAGE] Retrieved messages | User: Yokesh, Count: 1
[2025-10-24 10:01:24.184] [INFO] [HANDSHAKE] Handshake data retrieved | User: Yokesh, Count: 1
[2025-10-24 10:01:24.208] [INFO] [MESSAGE] Retrieved messages | User: Yokesh, Count: 1
[2025-10-24 10:01:27.180] [INFO] [HANDSHAKE] Handshake data retrieved | User: Yokesh, Count: 1
[2025-10-24 10:01:27.205] [INFO] [MESSAGE] Retrieved messages | User: Yokesh, Count: 1
[2025-10-24 10:01:30.189] [INFO] [HANDSHAKE] Handshake data retrieved | User: Yokesh, Count: 1
[2025-10-24 10:01:30.208] [INFO] [MESSAGE] Retrieved messages | User: Yokesh, Count: 1
[2025-10-24 10:01:33.181] [INFO] [HANDSHAKE] Handshake data retrieved | User: Yokesh, Count: 1
[2025-10-24 10:01:33.201] [INFO] [MESSAGE] Retrieved messages | User: Yokesh, Count: 1
[2025-10-24 10:01:36.185] [INFO] [HANDSHAKE] Handshake data retrieved | User: Yokesh, Count: 1
[2025-10-24 10:01:36.205] [INFO] [MESSAGE] Retrieved messages | User: Yokesh, Count: 1
[2025-10-24 10:01:39.185] [INFO] [HANDSHAKE] Handshake data retrieved | User: Yokesh, Count: 1
[2025-10-24 10:01:39.216] [INFO] [MESSAGE] Retrieved messages | User: Yokesh, Count: 1
[2025-10-24 10:01:42.189] [INFO] [HANDSHAKE] Handshake data retrieved | User: Yokesh, Count: 1
[2025-10-24 10:01:42.218] [INFO] [MESSAGE] Retrieved messages | User: Yokesh, Count: 1
[2025-10-24 10:01:45.188] [INFO] [HANDSHAKE] Handshake data retrieved | User: Yokesh, Count: 1
[2025-10-24 10:01:45.216] [INFO] [MESSAGE] Retrieved messages | User: Yokesh, Count: 1
[2025-10-24 10:01:48.176] [INFO] [HANDSHAKE] Handshake data retrieved | User: Yokesh, Count: 1
[2025-10-24 10:01:48.202] [INFO] [MESSAGE] Retrieved messages | User: Yokesh, Count: 1
[2025-10-24 10:01:51.179] [INFO] [HANDSHAKE] Handshake data retrieved | User: Yokesh, Count: 1
[2025-10-24 10:01:51.197] [INFO] [MESSAGE] Retrieved messages | User: Yokesh, Count: 1
[2025-10-24 10:01:54.189] [INFO] [HANDSHAKE] Handshake data retrieved | User: Yokesh, Count: 1
[2025-10-24 10:01:54.208] [INFO] [MESSAGE] Retrieved messages | User: Yokesh, Count: 1
[2025-10-24 10:01:57.186] [INFO] [HANDSHAKE] Handshake data retrieved | User: Yokesh, Count: 1
[2025-10-24 10:01:57.209] [INFO] [MESSAGE] Retrieved messages | User: Yokesh, Count: 1
[2025-10-24 10:02:00.183] [INFO] [HANDSHAKE] Handshake data retrieved | User: Yokesh, Count: 1
[2025-10-24 10:02:00.205] [INFO] [MESSAGE] Retrieved messages | User: Yokesh, Count: 1
[2025-10-24 10:02:03.186] [INFO] [HANDSHAKE] Handshake data retrieved | User: Yokesh, Count: 1
[2025-10-24 10:02:03.229] [INFO] [MESSAGE] Retrieved messages | User: Yokesh, Count: 1
[2025-10-24 10:02:06.180] [INFO] [HANDSHAKE] Handshake data retrieved | User: Yokesh, Count: 1
[2025-10-24 10:02:06.212] [INFO] [MESSAGE] Retrieved messages | User: Yokesh, Count: 1
[2025-10-24 10:02:09.189] [INFO] [HANDSHAKE] Handshake data retrieved | User: Yokesh, Count: 1
[2025-10-24 10:02:09.233] [INFO] [MESSAGE] Retrieved messages | User: Yokesh, Count: 1
[2025-10-24 10:02:12.186] [INFO] [HANDSHAKE] Handshake data retrieved | User: Yokesh, Count: 1
[2025-10-24 10:02:12.211] [INFO] [MESSAGE] Retrieved messages | User: Yokesh, Count: 1
[2025-10-24 10:02:15.179] [INFO] [HANDSHAKE] Handshake data retrieved | User: Yokesh, Count: 1
[2025-10-24 10:02:15.203] [INFO] [MESSAGE] Retrieved messages | User: Yokesh, Count: 1
[2025-10-24 10:02:18.187] [INFO] [HANDSHAKE] Handshake data retrieved | User: Yokesh, Count: 1
[2025-10-24 10:02:18.204] [INFO] [MESSAGE] Retrieved messages | User: Yokesh, Count: 1
[2025-10-24 10:02:21.180] [INFO] [HANDSHAKE] Handshake data retrieved | User: Yokesh, Count: 1
[2025-10-24 10:02:21.206] [INFO] [MESSAGE] Retrieved messages | User: Yokesh, Count: 1
[2025-10-24 10:02:24.181] [INFO] [HANDSHAKE] Handshake data retrieved | User: Yokesh, Count: 1
[2025-10-24 10:02:24.205] [INFO] [MESSAGE] Retrieved messages | User: Yokesh, Count: 1
[2025-10-24 10:02:27.177] [INFO] [HANDSHAKE] Handshake data retrieved | User: Yokesh, Count: 1
[2025-10-24 10:02:27.199] [INFO] [MESSAGE] Retrieved messages | User: Yokesh, Count: 1
[2025-10-24 10:02:30.187] [INFO] [HANDSHAKE] Handshake data retrieved | User: Yokesh, Count: 1
[2025-10-24 10:02:30.212] [INFO] [MESSAGE] Retrieved messages | User: Yokesh, Count: 1
[2025-10-24 10:02:33.181] [INFO] [HANDSHAKE] Handshake data retrieved | User: Yokesh, Count: 1
[2025-10-24 10:02:33.207] [INFO] [MESSAGE] Retrieved messages | User: Yokesh, Count: 1
[2025-10-24 10:02:36.179] [INFO] [HANDSHAKE] Handshake data retrieved | User: Yokesh, Count: 1
[2025-10-24 10:02:36.202] [INFO] [MESSAGE] Retrieved messages | User: Yokesh, Count: 1
[2025-10-24 10:02:39.188] [INFO] [HANDSHAKE] Handshake data retrieved | User: Yokesh, Count: 1
[2025-10-24 10:02:39.212] [INFO] [MESSAGE] Retrieved messages | User: Yokesh, Count: 1
[2025-10-24 10:02:42.179] [INFO] [HANDSHAKE] Handshake data retrieved | User: Yokesh, Count: 1
[2025-10-24 10:02:42.206] [INFO] [MESSAGE] Retrieved messages | User: Yokesh, Count: 1
[2025-10-24 10:02:45.176] [INFO] [HANDSHAKE] Handshake data retrieved | User: Yokesh, Count: 1
[2025-10-24 10:02:45.195] [INFO] [MESSAGE] Retrieved messages | User: Yokesh, Count: 1
[2025-10-24 10:02:48.179] [INFO] [HANDSHAKE] Handshake data retrieved | User: Yokesh, Count: 1
[2025-10-24 10:02:48.201] [INFO] [MESSAGE] Retrieved messages | User: Yokesh, Count: 1
[2025-10-24 10:02:51.184] [INFO] [HANDSHAKE] Handshake data retrieved | User: Yokesh, Count: 1
[2025-10-24 10:02:51.207] [INFO] [MESSAGE] Retrieved messages | User: Yokesh, Count: 1
[2025-10-24 10:02:54.181] [INFO] [HANDSHAKE] Handshake data retrieved | User: Yokesh, Count: 1
[2025-10-24 10:02:54.216] [INFO] [MESSAGE] Retrieved messages | User: Yokesh, Count: 1
[2025-10-24 10:02:57.181] [INFO] [HANDSHAKE] Handshake data retrieved | User: Yokesh, Count: 1
[2025-10-24 10:02:57.205] [INFO] [MESSAGE] Retrieved messages | User: Yokesh, Count: 1
[2025-10-24 10:03:00.186] [INFO] [HANDSHAKE] Handshake data retrieved | User: Yokesh, Count: 1
[2025-10-24 10:03:00.210] [INFO] [MESSAGE] Retrieved messages | User: Yokesh, Count: 1
[2025-10-24 10:03:03.175] [INFO] [HANDSHAKE] Handshake data retrieved | User: Yokesh, Count: 1
[2025-10-24 10:03:03.204] [INFO] [MESSAGE] Retrieved messages | User: Yokesh, Count: 1
[2025-10-24 10:03:06.190] [INFO] [HANDSHAKE] Handshake data retrieved | User: Yokesh, Count: 1
[2025-10-24 10:03:06.214] [INFO] [MESSAGE] Retrieved messages | User: Yokesh, Count: 1
[2025-10-24 10:03:09.190] [INFO] [HANDSHAKE] Handshake data retrieved | User: Yokesh, Count: 1
[2025-10-24 10:03:09.213] [INFO] [MESSAGE] Retrieved messages | User: Yokesh, Count: 1
[2025-10-24 10:03:12.188] [INFO] [HANDSHAKE] Handshake data retrieved | User: Yokesh, Count: 1
[2025-10-24 10:03:12.209] [INFO] [MESSAGE] Retrieved messages | User: Yokesh, Count: 1
[2025-10-24 10:03:15.183] [INFO] [HANDSHAKE] Handshake data retrieved | User: Yokesh, Count: 1
[2025-10-24 10:03:15.212] [INFO] [MESSAGE] Retrieved messages | User: Yokesh, Count: 1
[2025-10-24 10:03:18.183] [INFO] [HANDSHAKE] Handshake data retrieved | User: Yokesh, Count: 1
[2025-10-24 10:03:18.234] [INFO] [MESSAGE] Retrieved messages | User: Yokesh, Count: 1
[2025-10-24 10:03:21.190] [INFO] [HANDSHAKE] Handshake data retrieved | User: Yokesh, Count: 1
[2025-10-24 10:03:21.218] [INFO] [MESSAGE] Retrieved messages | User: Yokesh, Count: 1
[2025-10-24 10:03:24.190] [INFO] [HANDSHAKE] Handshake data retrieved | User: Yokesh, Count: 1
[2025-10-24 10:03:24.213] [INFO] [MESSAGE] Retrieved messages | User: Yokesh, Count: 1
[2025-10-24 10:03:27.180] [INFO] [HANDSHAKE] Handshake data retrieved | User: Yokesh, Count: 1
[2025-10-24 10:03:27.207] [INFO] [MESSAGE] Retrieved messages | User: Yokesh, Count: 1
[2025-10-24 10:03:30.191] [INFO] [HANDSHAKE] Handshake data retrieved | User: Yokesh, Count: 1
[2025-10-24 10:03:30.212] [INFO] [MESSAGE] Retrieved messages | User: Yokesh, Count: 1
